taxonomy_id,branza_glowna,podbranza,kategoria_uslugowa,usluga_glowna,synonimy,google_types,keywords_pl,model_domyslny,status
BUD-INST-HVAC,Budownictwo / instalacje,Instalacje grzewcze i klimatyzacyjne,Montaż i serwis,Montaż klimatyzacji,klimatyzacja|air conditioning,air_conditioning_contractor|hvac_contractor,klimatyzacja|montaż klimatyzacji|serwis klimatyzacji|hvac,B2C,aktywna
BUD-INST-POMPY,Budownictwo / instalacje,Instalacje grzewcze i klimatyzacyjne,Montaż i serwis,Montaż pomp ciepła,pompa ciepła|pompy ciepła|heat pump,hvac_contractor,pompa ciepła|pompy ciepła|rekuperacja|wentylacja,B2C,aktywna
BUD-INST-SANIT,Budownictwo / instalacje,Instalacje sanitarne,Montaż i serwis,Usługi hydrauliczne,hydraulik|instalacje sanitarne|plumber,plumber,hydraulik|instalacje wod-kan|udrażnianie|pogotowie kanalizacyjne,B2C,aktywna
BUD-INST-ELEKT,Budownictwo / instalacje,Instalacje elektryczne,Montaż i serwis,Usługi elektryczne,elektryk|instalacje elektryczne|electrician,electrician,elektryk|instalacje elektryczne|fotowoltaika,B2C,aktywna
BUD-REM-DACHY,Budownictwo / remonty,Dachy i elewacje,Wykonawstwo,Pokrycia dachowe i elewacje,dach|dachy|elewacja|docieplenie|roofing,roofing_contractor,dachy|docieplenia|elewacje,B2C,aktywna
BUD-REM-OGOLNE,Budownictwo / remonty,Remonty ogólnobudowlane,Wykonawstwo,Remonty i wykończenia,remont|remonty|wykończenia|general contractor,,remont|remonty|wykończenia|budowa,B2C,aktywna
OGR-PIEL,Ogrody / usługi ogrodnicze,Pielęgnacja ogrodów,Usługa cykliczna,Zakładanie i pielęgnacja ogrodów,ogrodnik|landscaper|pielęgnacja zieleni,landscaper,ogród|ogrody|trawnik|nawadnianie|pielęgnacja zieleni,B2C,aktywna
OGR-CENTRUM,Ogrody / usługi ogrodnicze,Sklep i centrum ogrodnicze,Sprzedaż,Sprzedaż roślin i akcesoriów ogrodowych,centrum ogrodnicze|garden center|sklep ogrodniczy,garden_center,sklep ogrodniczy|rośliny|nawozy|drzewka,B2C,aktywna
MOTO-SERWIS,Motoryzacja / opony / wulkanizacja,Serwis samochodowy,Naprawa i serwis,Serwis i mechanika,warsztat|mechanik|car repair,car_repair,warsztat samochodowy|mechanik|serwis samochodowy,B2C,aktywna
MOTO-OPONY,Motoryzacja / opony / wulkanizacja,Sprzedaż opon i części,Sprzedaż,Sprzedaż opon i akcesoriów,opony|wulkanizacja|auto parts,auto_parts_store,opony|wulkanizacja|wymiana opon|geometria kół,B2C,aktywna
