google_type,google_category_name,leadseason_industry,season_peak,contact_start,q4_priority,recommended_product,lead_reason_template,call_script_template,source_url,source_quality,confidence
restaurant,Restaurant,Gastronomia / restauracje / eventy,"maj-wrzesien oraz grudzien","wrzesien-pazdziernik",HIGH,"SEO lokalne / Google Ads / wizytowka Google / Social Media","Q4 to okres wigilii firmowych, spotkan swiatecznych i cateringu. Klient moze potrzebowac wiekszej widocznosci lokalnej zanim firmy zaczna rezerwowac terminy.","Dzwonie, bo w branzy gastronomicznej Q4 mocno pracuje na rezerwacjach swiatecznych i firmowych. Warto przygotowac widocznosc pod lokalne zapytania zanim terminy zaczna sie zapelniac.","https://poradnikrestauratora.pl/artykuly/analiza-briefly-najwiecej-na-swiateczna-impreze-wydaja-firmy-w-warszawie-srednio-135-tys-zl/",BRANZOWE,80
catering,Catering,Gastronomia / restauracje / eventy,"listopad-grudzien","wrzesien-pazdziernik",HIGH,"Google Ads / SEO lokalne / landing page pod catering swiateczny","Catering swiateczny i wigilie firmowe generuja popyt przed grudniem. Kontakt ma sens zanim firmy zamkna rezerwacje.","Dzwonie z pomyslem na kampanie pod catering swiateczny i wigilie firmowe. To temat, ktory trzeba wypchnac przed pikiem rezerwacji.","https://www.horecatrends.pl/gastronomia/114/catering_swiateczny_i_wigilie_firmowe_to_juz_ostatni_dzownek%2C3326.html",BRANZOWE,80
event_venue,Event venue,Gastronomia / restauracje / eventy,"grudzien oraz maj-wrzesien","wrzesien-pazdziernik",HIGH,"SEO lokalne / Google Ads / content ofertowy","Sale i miejsca eventowe maja piki przy imprezach firmowych, weselach i wydarzeniach sezonowych. Q4 daje temat wigilii firmowych.","Dzwonie, bo Q4 to dobry moment na promowanie sali/eventow pod spotkania firmowe i swiateczne. Mozemy przygotowac widocznosc przed sezonem rezerwacji.","https://poradnikrestauratora.pl/artykuly/analiza-briefly-najwiecej-na-swiateczna-impreze-wydaja-firmy-w-warszawie-srednio-135-tys-zl/",BRANZOWE,75
meal_delivery,Meal delivery,Gastronomia / restauracje / eventy,"grudzien oraz weekendy/okazje","wrzesien-pazdziernik",MEDIUM,"Google Ads lokalne / kampanie okazjonalne","Dostawy jedzenia i catering moga wykorzystac wzrost zamowien okazjonalnych w Q4.","Dzwonie z tematem kampanii lokalnej pod zamowienia swiateczne i firmowe. Warto przygotowac widocznosc zanim zacznie sie sezon.","https://lifestyle.newseria.pl/wszystkie-newsy/swiateczny-catering%2Cp1171615755",BRANZOWE,65
car_repair,Car repair,Motoryzacja / opony / wulkanizacja,"marzec-kwiecien oraz pazdziernik-listopad","luty-marzec oraz wrzesien",HIGH,"Google Ads / SEO lokalne / wizytowka Google","Jesienny peak wymiany opon i serwisu przed zima przypada na pazdziernik-listopad. Kontakt we wrzesniu pozwala przygotowac kampanie.","Dzwonie, bo zbliza sie sezon jesiennej wymiany opon i serwisu przed zima. Warto teraz przygotowac widocznosc w Google, zanim kierowcy zaczna masowo szukac warsztatu.","https://pzpo.org.pl/85-kierowcow-zmieniajacych-opony-na-zimowe-robi-to-w-pazdzierniku-i-listopadzie/",BRANZOWE,90
auto_parts_store,Auto parts store,Motoryzacja / opony / wulkanizacja,"marzec-kwiecien oraz pazdziernik-listopad","luty-marzec oraz wrzesien",HIGH,"SEO lokalne / Google Ads produktowe","Sklepy motoryzacyjne i oponiarskie korzystaja z sezonowych wymian oraz przygotowania aut do zimy/lata.","Dzwonie z tematem sezonowej kampanii pod opony, akcesoria i przygotowanie auta do zimy. To dobry moment, zeby zlapac ruch z Google.","https://www.ppr.pl/wiadomosci/67-polakow-zmienia-opony-na-zimowe-badanie-rankomatpl",BRANZOWE,85
car_wash,Car wash,Motoryzacja / opony / wulkanizacja,"wiosna oraz jesien/zima","marzec oraz wrzesien",MEDIUM,"SEO lokalne / wizytowka Google / kampania lokalna","Myjnie i detailing moga miec sezonowe okazje po zimie i przed zima, ale Q4 jest slabszym sygnalem niz opony.","Dzwonie, bo przed zima klienci czesto przygotowuja auta do sezonu. Mozemy sprawdzic widocznosc lokalna i opinie w Google.","https://www.motofaktor.pl/czy-polacy-zmieniaja-opony-przed-zima-dane-oponeo-pl/",BRANZOWE,55
school,School,Edukacja / kursy / szkoły językowe,"sierpien-pazdziernik oraz styczen-luty","czerwiec-sierpien oraz grudzien-styczen",HIGH,"SEO / Google Ads / Social Media / landing page zapisow","Edukacja i kursy maja silne okno zapisow przed rokiem szkolnym/semestrami. W lipcu/sierpniu trzeba zaczynac kontakt.","Dzwonie, bo w edukacji okno zapisow zaczyna sie przed wrzesniem. Warto teraz przygotowac kampanie pod nabor i kursy.","https://blog.langlion.com/pl/rynek-szkol-jezykowych-w-polsce-analiza-trendy-i-prognozy-rozwoju/",BRANZOWE,80
language_school,Language school,Edukacja / kursy / szkoły językowe,"sierpien-pazdziernik oraz styczen-luty","czerwiec-sierpien oraz grudzien-styczen",HIGH,"Google Ads / SEO / kampania zapisow","Szkoly jezykowe rekrutuja przed startem semestru i roku szkolnego. Q3/Q4 to naturalny moment rozmowy.","Dzwonie, bo szkoly jezykowe wchodza teraz w sezon zapisow. Mozemy przygotowac widocznosc pod kursy dla dzieci, mlodziezy i doroslych.","https://nglearning.pl/downloads/raport-o-stanie-edukacji-jezykowej/",BRANZOWE,80
university,University,Edukacja / kursy / szkoły językowe,"sierpien-pazdziernik oraz styczen-luty","czerwiec-sierpien oraz grudzien-styczen",MEDIUM,"SEO / kampanie rekrutacyjne / content","Placowki edukacyjne maja sezon rekrutacji i zapisow przed semestrami.","Dzwonie, bo przed startem semestru warto zadbac o widocznosc kierunkow, kursow i zapisow.","https://nglearning.pl/downloads/raport-o-stanie-edukacji-jezykowej/",BRANZOWE,65
